,id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
10242,11309,1500000,0.003947368,6.176091259," Horror, Science Fiction, Thriller",6.026159,0.011006917,9/14/1990,5728953,0.002054887,6.758075259,93,0.265372168,Hardware,5.6,0.56,88,0.00625222,Dylan McDermott, Stacey Travis, William Hootkins, Carl McCoy, Iggy Pop, Mark Northover,Richard Stanley
10246,33693,0.0001,0,0," Drama, Comedy",1.147626,0.002096164,9/20/2002,76901,2.75828E-05,4.885931987,85,0.239482201,Funny Ha Ha,6.3,0.63,8,0.000568384,Kate Dollenmayer, Mark Herlehy, Christian Rudder, Jennifer L. Schaper, Myles Paige, Marshall Lewy,Andrew Bujalski
10247,1635,126000000,0.331578947,8.100370545," Action, Thriller, Science Fiction, Adventure",11.443647,0.020902083,7/20/2005,162949164,0.058447347,8.212052137,136,0.404530744,The Island,6.5,0.65,1813,0.128809947,Ewan McGregor, Scarlett Johansson, Djimon Hounsou, Sean Bean, Steve Buscemi, Michael Clarke Duncan,
10248,13341,30000000,0.078947368,7.477121255," Comedy, Family",4.469459,0.008163568,7/22/2005,34252847,0.012285967,7.534696675,113,0.330097087,Bad News Bears,5.7,0.57,73,0.005186501,Billy Bob Thornton, Ken Medlock, Aman Johal, Greg Kinnear, Marcia Gay Harden, Sammi Kane Kraft,Richard Linklater
10250,1665,0.0001,0,0,Drama,4.790012,0.008749066,5/13/2005,1928985,0.000691897,6.285328851,96,0.275080906,Last Days,5.3,0.53,95,0.006749556,Michael Pitt, Lukas Haas, Asia Argento, Scott Patrick Green, Nicole Vicius, Kim Gordon,Gus Van Sant
10252,11459,35000000,0.092105263,7.544068044," Adventure, Comedy, Family",8.061423,0.014724373,7/29/2005,86369815,0.030979518,7.936361989,100,0.28802589,Sky High,5.8,0.58,568,0.04035524,Michael Angarano, Kurt Russell, Kelly Preston, Danielle Panabaker, Kevin Heffernan, Dee Jay Daniels,
10254,11648,30000000,0.078947368,7.477121255," Romance, Comedy",9.378926,0.017130823,7/21/2005,58405313,0.020949083,7.766452356,98,0.281553398,Must Love Dogs,5.8,0.58,142,0.01008881,Diane Lane, John Cusack, Elizabeth Perkins, Christopher Plummer, Dermot Mulroney, Stockard Channing,Gary David Goldberg
10271,308,10000000,0.026315789,7," Comedy, Drama, Mystery, Romance",6.589304,0.012035514,5/17/2005,45742101,0.016406985,7.660316108,105,0.30420712,Broken Flowers,6.8,0.68,359,0.025506217,Bill Murray, Julie Delpy, Sharon Stone, Tilda Swinton, Jessica Lange, Jeffrey Wright,Jim Jarmusch
10279,26579,74050,0.000194868,4.869525063,Drama,2.789574,0.005095219,9/15/2004,176153,6.3183E-05,5.245890044,98,0.281553398,The Heart is Deceitful Above All Things,5.7,0.57,38,0.002699822,Asia Argento, Jimmy Bennett, Jeremy Renner, Winona Ryder, Ornella Muti, Peter Fonda,Asia Argento
10283,6519,50000000,0.131578947,7.698970004," Action, Adventure, Comedy",9.039467,0.016510793,8/5/2005,110803676,0.039743566,8.044554169,104,0.300970874,The Dukes of Hazzard,5.1,0.51,321,0.022806394,Johnny Knoxville, Seann William Scott, Jessica Simpson, Willie Nelson, Burt Reynolds, M.C. Gainey,
10287,11453,22000000,0.057894737,7.342422681,Comedy,5.341117,0.009755672,8/6/2005,22400154,0.008034589,7.350251004,83,0.233009709,Deuce Bigalow: European Gigolo,4.6,0.46,232,0.016483126,Rob Schneider, Eddie Griffin, Jeroen Krabbé, Til Schweiger, Hanna Verboom, Oded Fehr,
10288,9913,43000000,0.113157895,7.633468456," Drama, Horror, Mystery, Thriller",10.947957,0.019996694,7/29/2005,91974818,0.032989946,7.963668937,104,0.300970874,The Skeleton Key,6.4,0.64,588,0.041776199,Kate Hudson, Gena Rowlands, Peter Sarsgaard, John Hurt, Joy Bryant, Marion Zinser,
10289,8292,45000000,0.118421053,7.653212514," Action, Crime",6.84109,0.012495407,8/11/2005,92374674,0.033133368,7.965552919,109,0.317152104,Four Brothers,6.7,0.67,617,0.04383659,Mark Wahlberg, Tyrese Gibson, André Benjamin, Garrett Hedlund, Terrence Howard, Josh Charles,Additional
10308,17824,0.0001,0,0,Comedy,4.966657,0.009071712,5/3/1985,331816,0.000119017,5.520897324,82,0.229773463,Private Resort,5.5,0.55,54,0.00383659,Johnny Depp, Rob Morrow, Héctor Elizondo, Andrew Dice Clay, Emily Longstreth, Leslie Easterbrook,George Bowers
10319,25199,0.0001,0,0," Romance, Fantasy, Comedy, Family",4.649104,0.008491694,4/28/1989,27843,9.9865E-06,4.444716027,94,0.268608414,Teen Witch,5.6,0.56,44,0.00312611,Robyn Lively, Dan Gauthier, Joshua John Miller, Caren Kaye, Dick Sargent, Lisa Fuller,Dorian Walker
10326,31977,0.0001,0,0,Drama,2.854219,0.005213295,2/4/2005,733094,0.000262949,5.865159665,122,0.359223301,Black,7.7,0.77,40,0.002841918,Amitabh Bachchan, Rani Mukerji, Ayesha Kapoor, Shernaz Patel, Dhritiman Chatterjee, Nandana Sen,Sanjay Leela Bhansali
10327,6957,26000000,0.068421053,7.414973348," Comedy, Romance",11.519662,0.021040926,8/11/2005,109449237,0.03925775,8.039212738,116,0.339805825,The 40 Year Old Virgin,6.2,0.62,2020,0.143516874,Steve Carell, Catherine Keener, Paul Rudd, Romany Malco, Seth Rogen, Jane Lynch,"Choreographer, Zachary Woodlee, Judd Apatow"
10331,11460,26000000,0.068421053,7.414973348," Horror, Thriller",6.336927,0.011574541,8/4/2005,57891803,0.020764895,7.762617076,85,0.239482201,Red Eye,6.2,0.62,471,0.033463588,Rachel McAdams, Cillian Murphy, Brian Cox, Jayma Mays, Jack Scalia, Robert Pine,
10335,19404,13200000,0.034736842,7.120573931," Comedy, Drama, Romance",34.457024,0.062936547,10/20/1995,100000000,0.035868455,8,190,0.579288026,Dilwale Dulhania Le Jayenge,9.1,0.91,661,0.0469627,Shah Rukh Khan, Kajol, Amrish Puri, Anupam Kher, Satish Shah, Achala Sachdev,"Choreographer, Farah Khan, Aditya Chopra, Playback Singer, Asha Bhosle, Playback Singer, Udit Narayan, Playback Singer, Kumar Sanu, Playback Singer, Lata Mangeshkar, Playback Singer, Pamela Chopra"
10339,445,0.0001,0,0," Mystery, Drama, Thriller",5.69586,0.010403618,5/2/2005,36000000,0.012912643,7.556302501,117,0.343042071,Caché,7,0.7,228,0.016198934,Daniel Auteuil, Juliette Binoche, Annie Girardot, Bernard Le Coq, Daniel Duval, Maurice Bénichou,Michael Haneke
10341,9564,0.0001,0,0," Family, Adventure, Comedy, Fantasy",8.150265,0.014886645,2/1/1999,1644060,0.000589699,6.215917663,109,0.317152104,Asterix & Obelix Take on Caesar,5.9,0.59,409,0.029058615,Christian Clavier, Gérard Depardieu, Roberto Benigni, Michel Galabru, Gottfried John, Laetitia Casta,Claude Zidi
10346,17186,0.0001,0,0," Action, Adventure, Drama, Romance",2.350811,0.004293809,8/16/2005,3102550,0.001112836,6.491718789,80,0.223300971,Supercross,5.4,0.54,29,0.002060391,Steve Howey, Mike Vogel, Cameron Richardson, Sophia Bush, Channing Tatum, Robert Carradine,Steve Boyum
10348,4442,88000000,0.231578947,7.944482672," Adventure, Fantasy, Action, Comedy, Thriller",15.66148,0.028606053,8/26/2005,105316267,0.037775317,8.022495457,118,0.346278317,The Brothers Grimm,5.6,0.56,847,0.06017762,Heath Ledger, Matt Damon, Mackenzie Crook, Roger Ashton-Griffiths, Peter Stormare, Jonathan Pryce,
10357,1985,25000000,0.065789474,7.397940009," Drama, Mystery, Thriller",11.556484,0.021108183,8/31/2005,82466670,0.02957952,7.916278458,129,0.381877023,The Constant Gardener,6.9,0.69,428,0.030408526,Ralph Fiennes, Rachel Weisz, Danny Huston, Bill Nighy, Donald Sumpter, Pete Postlethwaite,
10358,9335,32000000,0.084210526,7.505149978," Action, Thriller, Crime",11.359659,0.020748677,8/2/2005,85167639,0.030548316,7.930274608,87,0.245954693,Transporter 2,6.2,0.62,1076,0.076447602,Jason Statham, Amber Valletta, Kate Nauta, Alessandro Gassman, François Berléand, Robert Small,Louis Leterrier
10360,9007,58000000,0.152631579,7.763427994," Comedy, Fantasy, Romance",8.351773,0.015254704,9/16/2005,102854431,0.036892295,8.012223006,95,0.27184466,Just Like Heaven,6.5,0.65,595,0.042273535,Reese Witherspoon, Mark Ruffalo, Donal Logue, Dina Spybey-Waters, Ben Shenkman, Jon Heder,"Sound Designer, Mark A. Mangini"
10364,10092,1000000,0.002631579,6," Horror, Thriller",9.454335,0.017268559,9/16/2005,10047674,0.003603945,7.002065536,90,0.25566343,Cry_Wolf,5.6,0.56,127,0.009023091,Julian Morris, Lindy Booth, Jared Padalecki, Jon Bon Jovi, Sandra McCoy, Paul James,Jeff Wadlow
10366,1546,0.0001,0,0," Comedy, Drama",5.884228,0.010747676,1/23/2005,1919197,0.000688386,6.283119556,96,0.275080906,Thumbsucker,6.2,0.62,68,0.004831261,Lou Taylor Pucci, Tilda Swinton, Keanu Reeves, Benjamin Bratt, Kelli Garner, Chase Offerle,Mike Mills
10369,15155,0.0001,0,0," Drama, Romance",0.884526,0.001615605,5/10/2002,3020784,0.001083508,6.480119672,96,0.275080906,G,6.8,0.68,7,0.000497336,Richard T. Jones, Blair Underwood, Chenoa Maxwell, Andre Royo, Laz Alonso, Lalanya Masters,Christopher Scott Cherot
