,id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
20059,117629,500000,0.001309219,5.698970004," Drama, Romance",1.162001,2.12E-03,5/16/2012,116207,4.11781E-05,5.06523229,84,0.24852071,Yossi,6.8,7.47E-01,22,0.001563055,Ohad Knoller, Lior Ashkenazi, Orly Silbersatz Banai, Oz Zehavi, Ola Schur Selektar, Meir Golan,Eytan Fox
20065,127501,4437508,0.01167115,6.647139149," Drama, Romance, Comedy",3.779077,6.90E-03,9/14/2012,2804874,0.001005562,6.447913357,155,0.458579882,Barfi,7.2,7.91E-01,84,0.005968028,Priyanka Chopra, Ranbir Kapoor, Sumona Chakravarti,,,,Anurag Basu
20067,97630,40000000,0.105257271,7.602059991," Thriller, Drama, History",9.649303,1.76E-02,12/19/2012,132820716,0.047640259,8.123265817,157,0.464497041,Zero Dark Thirty,6.7,7.36E-01,1723,0.122415631,Jessica Chastain, Jason Clarke, Mark Strong, Joel Edgerton, Chris Pratt, Kyle Chandler,Kathryn Bigelow
20080,139567,20000000,0.052625346,7.301029996," Action, Crime, Drama, Thriller",10.999209,2.01E-02,8/31/2012,4636169,0.001662419,6.666159259,97,0.286982249,Fire with Fire,5.6,6.15E-01,223,0.015843694,Bruce Willis, Josh Duhamel, Rosario Dawson, 50 Cent, Richard Schiff, Vinnie Jones,David Barrett
20081,82654,35000000,0.09209929,7.544068044," Horror, Comedy, Romance",10.430238,1.90E-02,1/31/2013,116980662,0.041958674,8.068114075,97,0.286982249,Warm Bodies,6.4,7.03E-01,2698,0.191687389,Nicholas Hoult, Teresa Palmer, Analeigh Tipton, Rob Corddry, Dave Franco, John Malkovich,Jonathan Levine
20106,82687,40000000,0.105257271,7.602059991,Comedy,7.479014,1.37E-02,12/19/2012,41863726,0.015015376,7.621837879,95,0.281065089,The Guilt Trip,5.4,5.93E-01,287,0.020390764,Seth Rogen, Barbra Streisand, Yvonne Strahovski, Colin Hanks, Adam Scott, Danny Pudi,Anne Fletcher
20109,75780,60000000,0.157889197,7.77815125," Crime, Drama, Thriller",12.789812,2.34E-02,12/20/2012,218340595,0.078314934,8.339134489,130,0.384615385,Jack Reacher,6.3,6.92E-01,3046,0.216412078,Tom Cruise, Rosamund Pike, Richard Jenkins, David Oyelowo, Werner Herzog, Jai Courtney,
20110,68718,100000000,0.263153047,8," Drama, Western",19.785025,3.61E-02,12/25/2012,425368238,0.152572588,8.628765058,165,0.48816568,Django Unchained,7.8,8.57E-01,10297,0.731580817,Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins,
20111,89492,35000000,0.09209929,7.544068044,Comedy,11.418802,2.09E-02,12/20/2012,88058786,0.031584838,7.944772694,134,0.396449704,This Is 40,5.6,6.15E-01,909,0.064582593,Paul Rudd, Leslie Mann, Jason Segel, Maude Apatow, Megan Fox, Lena Dunham,"Steadicam Operator, David Luckenbach"
20119,80278,42000000,0.110520464,7.62324929," Thriller, Drama",10.027434,1.83E-02,9/9/2012,180274123,0.064661071,8.255933391,113,0.334319527,The Impossible,7,7.69E-01,2071,0.14714032,Naomi Watts, Ewan McGregor, Tom Holland, Samuel Joslin, Oaklee Pendergast, Marta Etura ,Juan Antonio Bayona
