,id,budget,budget_log,genres,popularity,release_date,revenue,revenue_log,runtime,title,vote_average,vote_count,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
3671,4244,65000000,7.812913357," Fantasy, Comedy, Family",15.045725,7/7/2000,69700000,7.843232778,104,The Kid,6,242,Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin, Chi McBride, Jean Smart,Utility
3672,4247,19000000,7.278753601,Comedy,12.446738,7/7/2000,278019771,8.444075681,88,Scary Movie,6,1468,Carmen Electra, Dave Sheridan, Anna Faris, Jon Abrahams, Regina Hall, Marlon Wayans,"Dolly Grip, James Salberg, Third  Jeff Mosuk"
4271,4248,45000000,7.653212514,Comedy,10.869056,7/4/2001,141220678,8.149898292,83,Scary Movie 2,5.4,1019,Anna Faris, Marlon Wayans, James DeBello, Shawn Wayans, David Cross, Christopher Masterson,
8271,4251,7000000,6.84509804," Drama, Romance",3.319516,11/12/2004,29385320,7.468130424,192,Veer-Zaara,7.5,67,Shah Rukh Khan, Preity Zinta, Rani Mukerji, Amitabh Bachchan, Hema Malini, Divya Dutta,"Yash Chopra, Playback Singer, Gurdas Mann, Playback Singer, Roop Kumar Rathod\t \t   , Playback Singer, Sonu Nigam, Playback Singer, Udit Narayan, Playback Singer, Lata Mangeshkar"
6762,4256,48000000,7.681241237,Comedy,11.142209,10/24/2003,220673217,8.343749626,84,Scary Movie 3,5.8,948,Pamela Anderson, Jenny McCarthy, Marny Eng, Charlie Sheen, Simon Rex, Jianna Ballard,"David Zucker, Pat Weber"
10956,4257,45000000,7.653212514,Comedy,13.096692,4/13/2006,178262620,8.251060285,83,Scary Movie 4,5.3,779,Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Leslie Nielsen,David Zucker
20849,4258,20000000,7.301029996,Comedy,14.27281,4/11/2013,78378744,7.8941983,86,Scary Movie 5,4.6,813,Simon Rex, Ashley Tisdale, Charlie Sheen, Lindsay Lohan, Erica Ash, Katt Williams,Malcolm D. Lee
3861,4327,92000000,7.963787827," Action, Adventure, Comedy, Crime, Thriller",9.774985,11/2/2000,264105545,8.421777519,98,Charlie's Angels,5.6,1253,Cameron Diaz, Lucy Liu, Drew Barrymore, Bill Murray, John Forsythe, Sam Rockwell,McG
12083,4347,30000000,7.477121255," Drama, Romance",8.913338,8/29/2007,129266061,8.111484515,123,Atonement,7.4,1075,Keira Knightley, James McAvoy, Romola Garai, Saoirse Ronan, Brenda Blethyn, Vanessa Redgrave,
10574,4348,28000000,7.447158031," Drama, Romance",14.439083,9/16/2005,121147947,8.083316059,135,Pride & Prejudice,7.8,1406,Keira Knightley, Matthew Macfadyen, Rosamund Pike, Simon Woods, Donald Sutherland, Brenda Blethyn,Joe Wright
12043,4349,70000000,7.84509804," Thriller, Action, Drama",13.842333,8/22/2007,86658558,7.937811458,110,The Kingdom,6.5,517,Jamie Foxx, Jennifer Garner, Chris Cooper, Jason Bateman, Ali Suliman, Jeremy Piven,
10097,4379,43000000,7.633468456," Romance, Comedy",6.328385,5/13/2005,154749918,8.189630428,101,Monster-in-Law,5.6,413,Jennifer Lopez, Jane Fonda, Michael Vartan, Wanda Sykes, Adam Scott, Monet Mazur,Robert Luketic
8216,4380,50000000,7.698970004," Drama, Romance, Comedy",9.082538,10/15/2004,170128460,8.230776971,107,Shall We Dance?,5.9,308,Richard Gere, Jennifer Lopez, Susan Sarandon, Lisa Ann Walter, Stanley Tucci, Anita Gillette,Peter Chelsom
2204,4437,28000000,7.447158031," Thriller, Science Fiction",7.482865,12/6/1984,40400657,7.606388428,116,2010,6.6,290,Roy Scheider, John Lithgow, Helen Mirren, Bob Balaban, Keir Dullea, Douglas Rain,Novel
10348,4442,88000000,7.944482672," Adventure, Fantasy, Action, Comedy, Thriller",15.66148,8/26/2005,105316267,8.022495457,118,The Brothers Grimm,5.6,847,Heath Ledger, Matt Damon, Mackenzie Crook, Roger Ashton-Griffiths, Peter Stormare, Jonathan Pryce,
6439,4464,87000000,7.939519253," Drama, History",7.851669,7/22/2003,148336445,8.171247867,141,Seabiscuit,6.8,219,Jeff Bridges, David McCullough, Chris Cooper, Tobey Maguire, Elizabeth Banks, Gary L. Stevens,Gary Ross
262,4476,30000000,7.477121255," Adventure, Drama, Romance, War",12.199047,12/16/1994,160638883,8.205850676,133,Legends of the Fall,7.2,636,Brad Pitt, Anthony Hopkins, Aidan Quinn, Julia Ormond, Henry Thomas, Karina Lombard,Edward Zwick
1435,4477,90000000,7.954242509," Crime, Thriller, Drama",10.675073,3/12/1997,140807547,8.148625933,107,The Devil's Own,5.9,300,Harrison Ford, Brad Pitt, Margaret Colin, Rubén Blades, Treat Williams, George Hearn,Alan J. Pakula
